Dia;Hora;Temp
91;100;25.01
91;200;24.88
91;300;24.78
91;400;24.47
91;500;23.39
91;600;22.97
91;700;26.26
91;800;30.02
91;900;32.04
91;1000;32.27
91;1100;35.43
91;1200;36.48
91;1300;39.77
91;1400;42.85
91;1500;42.1
91;1600;40.78
91;1700;36.6
91;1800;33.1
91;1900;30.91
91;2000;29.36
91;2100;27.68
91;2200;26.49
91;2300;25.27
91;2400;24.01
92;100;22.93
92;200;22.93
92;300;23.12
92;400;22.99
92;500;22.03
92;600;21.75
92;700;26.33
92;800;30.11
92;900;27.06
92;1000;31.62
92;1100;34.27
92;1200;35.67
92;1300;39.44
92;1400;42.3
92;1500;41.97
92;1600;41.47
92;1700;39.02
92;1800;32.27
92;1900;29.07
92;2000;27.34
92;2100;26.12
92;2200;25.02
92;2300;24.28
92;2400;23.66
93;100;23.92
93;200;23.72
93;300;22.91
93;400;22.52
93;500;22.39
93;600;21.79
93;700;25.88
93;800;30.4
93;900;32.17
93;1000;33.74
93;1100;35.83
93;1200;36.46
93;1300;40
93;1400;42.8
93;1500;43.54
93;1600;42.16
93;1700;36.71
93;1800;33.01
93;1900;29.97
93;2000;28.11
93;2100;26.93
93;2200;25.91
93;2300;25.11
93;2400;24.57
94;100;23.84
94;200;23.46
94;300;23.25
94;400;23.65
94;500;22.63
94;600;22.24
94;700;26.46
94;800;28.82
94;900;28.01
94;1000;29.95
94;1100;32.22
94;1200;33.71
94;1300;36.33
94;1400;38.3
94;1500;37.13
94;1600;35.27
94;1700;31.26
94;1800;29.19
94;1900;27.92
94;2000;27.07
94;2100;26.01
94;2200;25.23
94;2300;24.66
94;2400;24.16
95;100;24
95;200;23.62
95;300;22.82
95;400;22.36
95;500;22.77
95;600;22.88
95;700;24.69
95;800;27.98
95;900;30.97
95;1000;33.45
95;1100;33.06
95;1200;33.51
95;1300;36.93
95;1400;38.35
95;1500;41.77
95;1600;37.32
95;1700;32.35
95;1800;29.11
95;1900;27.07
95;2000;25.96
95;2100;24.72
95;2200;23.76
95;2300;23.13
95;2400;22.75
96;100;22.68
96;200;22.58
96;300;22.8
96;400;22.69
96;500;22.2
96;600;21.72
96;700;24.19
96;800;28.83
96;900;29.66
96;1000;33.2
96;1100;36.02
96;1200;37.55
96;1300;42.04
96;1400;42.62
96;1500;40.78
96;1600;37.71
96;1700;34.3
96;1800;32.13
96;1900;29.54
96;2000;28.25
96;2100;27.01
96;2200;26.05
96;2300;25.41
96;2400;24.81
97;100;24.52
97;200;23.69
97;300;23.15
97;400;22.62
97;500;22.02
97;600;21.85
97;700;23.8
97;800;31.8
97;900;33.21
97;1000;37.11
97;1100;38.07
97;1200;38.97
97;1300;37.71
97;1400;41.5
97;1500;43.67
97;1600;42.12
97;1700;38.4
97;1800;34.2
97;1900;31.29
97;2000;29.47
97;2100;28.06
97;2200;26.91
97;2300;25.88
97;2400;24.89
98;100;24.23
98;200;23.47
98;300;23.11
98;400;22.82
98;500;22.66
98;600;22.03
98;700;26.37
98;800;28.64
98;900;31.44
98;1000;33.85
98;1100;36.39
98;1200;38.33
98;1300;43.21
98;1400;44.72
