Dia;Hora;Temp
91;700;25.05
91;800;30.59
91;900;33.83
91;1000;35.93
91;1100;37.01
91;1200;37.55
91;1300;40.60
91;1400;43.83
91;1500;42.55
91;1600;41.47
92;700;25.67
92;800;30.08
92;900;32.07
92;1000;34.70
92;1100;36.72
92;1200;36.94
92;1300;39.70
92;1400;41.83
92;1500;39.21
92;1600;39.02
92;1700;35.56
93;700;26.93
93;800;30.62
93;900;32.34
93;1000;34.55
93;1100;35.54
93;1200;36.41
93;1300;40.82
93;1400;44.11
93;1700;38.24
94;700;22.95
94;800;29.92
94;900;33.12
94;1000;34.39
94;1100;35.07
94;1200;37.25
94;1300;36.65
94;1400;35.67
94;1500;32.82
94;1600;28.01
94;1700;27.35
95;700;23.91
95;800;26.51
95;900;30.02
95;1000;31.98
95;1100;35.87
95;1200;37.47
95;1300;35.21
95;1400;28.39
95;1500;27.01
95;1700;26.90
96;700;23.49
96;800;27.90
96;900;32.66
96;1000;33.96
96;1100;35.84
96;1200;36.78
96;1300;38.81
96;1400;42.66
96;1500;45.81
96;1600;43.00
96;1700;34.39
96;1800;30.27
97;700;24.94
97;800;29.30
97;900;34.14
97;1000;36.23
97;1100;37.25
97;1200;37.21
97;1300;39.57
97;1500;40.74
97;1600;36.52
97;1700;32.96
98;700;25.39
98;800;28.30
98;900;33.83
98;1000;34.73
98;1100;36.50
98;1200;38.20
98;1300;39.12
98;1400;43.67
98;1500;45.52
98;1600;39.66
98;1700;38.05
99;700;26.17
99;800;27.30
99;900;28.27
99;1000;32.74
99;1100;35.68
99;1200;37.49
99;1300;35.37
99;1400;29.74
99;1500;32.97
99;1600;32.34
99;1700;31.05
100;700;25.69
100;800;30.22
100;900;31.09
100;1000;34.29
100;1100;34.09
100;1200;37.06
100;1300;39.54
100;1400;41.32
100;1500;40.28
100;1600;39.70
100;1700;38.68
100;1800;35.34
101;800;31.33
101;900;32.77
101;1000;34.16
101;1100;35.59
101;1200;36.68
101;1300;39.21
101;1400;41.11
101;1500;41.62
101;1600;41.16
101;1700;38.59
102;800;31.56
102;900;33.36
102;1000;35.07
102;1100;36.46
102;1200;36.47
102;1300;37.22
102;1400;41.01
102;1500;41.33
102;1600;39.18
103;800;31.48
103;900;33.74
103;1000;36.18
103;1100;38.59
103;1200;38.59
103;1300;41.38
103;1400;40.34
103;1500;43.17
103;1600;43.18
103;1700;39.42
104;800;30.37
104;900;33.67
104;1000;36.26
104;1100;37.22
104;1200;38.00
104;1300;40.81
104;1400;43.99
104;1500;41.62
104;1600;43.79
104;1700;41.17
105;800;30.05
105;900;31.42
105;1000;32.98
105;1100;34.81
105;1200;36.65
105;1300;40.31
105;1400;42.41
105;1500;44.10
105;1600;41.93
105;1700;36.92
106;700;26.95
106;800;29.07
106;900;31.09
106;1000;31.16
106;1100;30.76
106;1200;35.31
106;1300;37.44
106;1400;39.40
106;1500;41.03
106;1600;31.78
106;1700;28.91
107;700;24.29
107;800;28.44
107;900;32.96
107;1000;35.13
107;1100;35.41
107;1200;37.15
107;1300;39.63
107;1400;43.29
107;1500;45.10
107;1600;32.20
107;1700;29.35
108;700;24.07
108;800;28.81
108;900;31.79
108;1000;32.91
108;1100;33.81
109;700;26.26
109;800;31.55
109;900;34.69
109;1000;34.05
109;1100;34.84
109;1200;36.79
109;1300;39.94
109;1400;41.85
109;1500;32.03
109;1600;28.37
110;900;22.03
110;1000;22.91
110;1100;25.27
110;1200;28.41
110;1300;33.11
110;1400;33.27
110;1700;29.34
111;700;23.31
111;800;27.09
111;900;32.82
111;1000;34.68
111;1100;34.94
111;1200;36.01
111;1300;38.42
111;1400;41.88
111;1700;43.88
112;700;25.33
112;800;29.48
112;900;34.18
112;1000;37.41
112;1100;36.31
112;1200;36.49
112;1300;38.93
112;1400;32.83
112;1500;30.63
112;1600;30.16
112;1700;29.49
113;700;23.62
113;800;25.27
113;900;28.42
113;1000;30.51
113;1100;33.40
113;1200;34.24
113;1300;36.19
113;1400;38.68
113;1500;41.02
113;1700;37.37
114;700;23.62
114;800;25.12
114;900;26.74
114;1000;28.11
114;1100;30.41
114;1200;33.35
114;1300;35.96
114;1400;37.34
114;1500;36.18
114;1600;33.28
114;1700;30.84
115;800;29.66
115;900;32.28
115;1000;34.23
115;1100;35.91
115;1200;36.84
115;1300;38.32
115;1400;35.09
115;1600;36.14
115;1700;31.85
116;800;30.80
116;900;32.64
116;1000;32.15
116;1100;33.73
116;1200;35.95
116;1300;36.99
117;800;30.91
117;900;32.43
117;1000;33.83
117;1100;34.89
117;1200;35.90
117;1300;37.78
117;1400;39.49
117;1500;41.02
117;1600;39.88
117;1700;35.54
118;700;25.57
118;800;28.77
118;900;34.16
118;1000;34.94
118;1100;35.88
118;1200;35.62
118;1300;36.50
118;1400;36.35
118;1500;35.76
118;1600;31.59
118;1700;28.85
119;700;24.29
119;800;25.63
119;900;27.41
119;1000;32.06
119;1100;33.42
119;1200;33.56
119;1300;34.45
119;1400;33.55
119;1500;33.18
119;1600;31.44
119;1700;31.96
120;700;23.76
120;800;27.27
120;900;31.20
120;1000;35.24
120;1100;35.17
120;1200;32.64
120;1300;28.66
120;1400;25.13
120;1700;27.20
